"A","ProductName","InArea","Mba","ProductSerialNumber","commodity","AnnualConsumption","StartDate","ContractDuration","OrderDate","Status","PriceGuaranteeUntil","PriceValidSince","PriceChangePlanned","OrigBaseCosts","OrigKwhCosts","OrigKwhMargin","OrigbaseMargin","CurrentBasePriceNet","CurrentKwhPriceNet","CatalogBasePrice","CatalogKwhPrice","CurrentBaseCosts","CurrentKwhCosts","CurrentKwhMargin","CurrentBaseMargin","BaseNewPriceProposed","KwhNewPriceProposed","NewPriceInclude","NewPriceStartdate","CurrentBaseTargetMargin","CurrentKwhTargetMargin","error"
"A2",12,"False","en-4041575137","ev-pwrpq4945","power",2345,"2020-07-12","2021-07-11 00:00:00","2020-11-04","active","2021-07-11 00:00:00","2020-10-01","False",67.2358,0.238076,0.00742,25.44,92.6758,0.245496,114.2998,0.396546,95.8664,0.2153178,0.0301782,-3.19059999999999,121.3064,0.222706,,,18.4334,0.18126,
"A2","EASY","False","en-1097107070","ev-zurxv3467","power",2345,"2020-10-10","2020-10-10 00:00:00","2020-10-31","active","2020-10-10 00:00:00","2020-10-01","False",68.5044,0.242568,0.012528,32.4,100.9044,0.255096,127.2564,0.395388,97.6752,0.2193804,0.0357156,3.22920000000001,130.0752,0.231876,,,29.5812,0.17604,
"A2","EASY","False","en-7172234739","ev-syzfw7035","power",2345,"2020-10-18","2020-10-18 00:00:00","2020-11-08","active","2020-10-18 00:00:00","2020-10-01","False",58.3556,0.206632,0.010672,27.6,85.9556,0.217304,108.4036,0.336812,83.2048,0.1868796,0.0304244,2.7508,110.8048,0.197524,,,25.1988,0.14996,
"A2","EASY","False","en-5025323444","ev-otsch3692","gas",2345,"2020-10-24","2020-10-24 00:00:00","2020-11-14","active","2020-10-24 00:00:00","2020-10-01","False",85.554,0.0400197,0.0021,42,127.554,0.042105,178.6575,0.155925,136.6575,0.046221,-0.004116,-9.10349999999998,178.6575,0.0483,,,42,0.109725,
"A2","EASY","False","en-5025323444","ev-wtwxq3732","power",2345,"2020-10-24","2020-10-24 00:00:00","2020-11-14","active","2020-10-24 00:00:00","2020-10-01","False",68.5044,0.242568,0.012528,32.4,100.9044,0.255096,127.2564,0.395388,97.6752,0.2193804,0.0357156,3.22920000000001,130.0752,0.231876,,,29.5812,0.17604,
"A2",12,"False","en-8916025425","ev-engsi8700","power",2345,"2021-01-01","2021-12-31 00:00:00","2021-01-04","active","2021-12-31 00:00:00","2020-10-01","False",67.8701,0.240322,0.00749,25.68,93.5501,0.247812,115.3781,0.400287,96.7708,0.2173491,0.0304629,-3.22069999999999,122.4508,0.224807,,,18.6073,0.18297,
"A2",12,"False","en-8916025425","ev-xxfjy8320","gas",2345,"2021-01-01","2021-12-31 00:00:00","2021-01-04","active","2021-12-31 00:00:00","2020-10-01","False",69.258,0.0323969,0.001275,27.2,96.458,0.03366,137.8275,0.128775,110.6275,0.037417,-0.003757,-14.1695,137.8275,0.038675,,,27.2,0.091375,
"A2",12,"False","en-1767991043","ev-mmjuq6154","power",2345,"2021-01-04","2022-01-03 00:00:00","2021-01-04","active","2022-01-03 00:00:00","2020-10-01","False",65.3329,0.231338,0.00721,24.72,90.0529,0.238548,111.0649,0.385323,93.1532,0.2092239,0.0293241,-3.10029999999999,117.8732,0.216403,,,17.9117,0.17613,
"A2",12,"False","en-7339962685","ev-znvzz9461","power",2345,"2021-01-05","2022-01-04 00:00:00","2021-01-05","active","2022-01-04 00:00:00","2020-10-01","False",64.0643,0.226846,0.00707,24.24,88.3043,0.233916,108.9083,0.377841,91.3444,0.2051613,0.0287547,-3.04009999999998,115.5844,0.212201,,,17.5639,0.17271,
"A2",12,"False","en-9075401324","ev-lfybw3314","power",2345,"2021-01-06","2022-01-05 00:00:00","2021-01-06","active","2022-01-05 00:00:00","2020-10-01","False",55.8184,0.197648,0.00616,21.12,76.9384,0.203808,94.8904,0.329208,79.5872,0.1787544,0.0250536,-2.64879999999999,100.7072,0.184888,,,15.3032,0.15048,
"A2","EASY","False","en-6978094081","ev-bxehw8422","power",2345,"2021-11-26","2021-11-26 00:00:00","2021-01-11","active","2021-11-26 00:00:00","2020-10-01","False",68.5044,0.242568,0.012528,32.4,100.9044,0.255096,127.2564,0.395388,97.6752,0.2193804,0.0357156,3.22920000000001,130.0752,0.231876,,,29.5812,0.17604,
"A2","EASY","False","en-2327235285","ev-ayxgd7019","power",2345,"2021-03-01","2021-03-01 00:00:00","2021-01-11","active","2021-03-01 00:00:00","2020-10-01","False",56.4527,0.199894,0.010324,26.7,83.1527,0.210218,104.8687,0.325829,80.4916,0.1807857,0.0294323,2.6611,107.1916,0.191083,,,24.3771,0.14507,
"A2","EASY","False","en-2327235285","ev-lmaku4811","gas",2345,"2021-03-01","2021-03-01 00:00:00","2021-01-11","active","2021-03-01 00:00:00","2020-10-01","False",91.2576,0.04268768,0.00224,44.8,136.0576,0.044912,190.568,0.16632,145.768,0.0493024,-0.0043904,-9.71040000000002,190.568,0.05152,,,44.8,0.11704,
"A2","EASY","False","en-6217186839","ev-jcyjx7129","gas",2345,"2021-01-01","2021-01-01 00:00:00","2021-01-12","active","2021-01-01 00:00:00","2020-10-01","False",89.628,0.0419254,0.0022,44,133.628,0.04411,187.165,0.16335,143.165,0.048422,-0.004312,-9.53700000000001,187.165,0.0506,,,44,0.11495,
"A2","EASY","False","en-3663895187","ev-fanje9151","power",2345,"2021-02-02","2021-02-02 00:00:00","2021-01-12","active","2021-02-02 00:00:00","2020-10-01","False",57.7213,0.204386,0.010556,27.3,85.0213,0.214942,107.2253,0.333151,82.3004,0.1848483,0.0300937,2.72090000000001,109.6004,0.195377,,,24.9249,0.14833,
"A2","EASY","False","en-3663895187","ev-mzkul7410","gas",2345,"2021-02-02","2021-02-02 00:00:00","2021-01-12","active","2021-02-02 00:00:00","2020-10-01","False",92.8872,0.04344996,0.00228,45.6,138.4872,0.045714,193.971,0.16929,148.371,0.0501828,-0.0044688,-9.88379999999998,193.971,0.05244,,,45.6,0.11913,
"A2",12,"False","en-2239034776","ev-iluhq7707","power",2345,"2021-02-02","2022-02-01 00:00:00","2021-01-12","active","2022-02-01 00:00:00","2020-10-01","False",67.8701,0.240322,0.00749,25.68,93.5501,0.247812,115.3781,0.400287,96.7708,0.2173491,0.0304629,-3.22069999999999,122.4508,0.224807,,,18.6073,0.18297,
"A2","EASY","False","en-9871374865","ev-oeatw2913","power",2345,"2021-02-02","2021-02-02 00:00:00","2021-01-12","active","2021-02-02 00:00:00","2020-10-01","False",55.1841,0.195402,0.010092,26.1,81.2841,0.205494,102.5121,0.318507,78.6828,0.1767231,0.0287709,2.60130000000001,104.7828,0.186789,,,23.8293,0.14181,
"A2","EASY","False","en-9871374865","ev-jxjgc1283","gas",2345,"2021-02-02","2021-02-02 00:00:00","2021-01-12","active","2021-02-02 00:00:00","2020-10-01","False",82.2948,0.03849514,0.00202,40.4,122.6948,0.040501,171.8515,0.149985,131.4515,0.0444602,-0.0039592,-8.75670000000001,171.8515,0.04646,,,40.4,0.105545,
"A2","EASY","False","en-5971911051","ev-rwvss7714","power",2345,"2021-02-02","2021-02-02 00:00:00","2021-01-12","active","2021-02-02 00:00:00","2020-10-01","False",67.8701,0.240322,0.012412,32.1,99.9701,0.252734,126.0781,0.391727,96.7708,0.2173491,0.0353849,3.19930000000001,128.8708,0.229729,,,29.3073,0.17441,
"A2","EASY","False","en-5971911051","ev-lihca0473","gas",2345,"2021-02-02","2021-02-02 00:00:00","2021-01-12","active","2021-02-02 00:00:00","2020-10-01","False",76.5912,0.03582716,0.00188,37.6,114.1912,0.037694,159.941,0.13959,122.341,0.0413788,-0.0036848,-8.1498,159.941,0.04324,,,37.6,0.09823,
"A2",12,"False","en-8218720905","ev-wvsoy6751","power",2345,"2021-01-12","2022-01-11 00:00:00","2021-01-12","active","2022-01-11 00:00:00","2020-10-01","False",66.759,0.238875,0.00105,2.1,68.859,0.239925,101.472,0.3654,94.185,0.2047815,0.0351435,-25.326,96.285,0.2058,,,7.287,0.16065,
"A2",12,"False","en-8218720905","ev-msxfy8578","gas",2345,"2021-01-12","2022-01-11 00:00:00","2021-01-12","active","2022-01-11 00:00:00","2020-10-01","False",119.856,0.04252224,0.00144,30.72,150.576,0.043968,151.9584,0.119808,169.1424,0.04831392,-0.00434592,-18.5664,199.8624,0.049728,,,-17.184,0.07152,
"A2",12,"False",31455550,8000610270,"gas",11314,"2021-01-06","2022-01-05 00:00:00","2021-01-13","active","2022-01-05 00:00:00","2020-10-01","False",128.5955,0.04562282,0.001545,32.96,161.5555,0.047174,163.0387,0.128544,181.4757,0.05183681,-0.00466281,-19.9202,214.4357,0.053354,,,-18.437,0.076735,
"A2",12,"False",31455550,8000610269,"power",1971,"2021-01-06","2022-01-05 00:00:00","2021-01-13","active","2022-01-05 00:00:00","2020-10-01","False",62.3084,0.23079,0.00098,1.96,64.2684,0.23177,94.7072,0.34888,87.906,0.1989694,0.0328006,-23.6376,89.866,0.19992,,,6.8012,0.14994,
"A2",12,"False","en-6975245025","ev-ilffl8532","power",2345,"2021-01-13","2022-01-12 00:00:00","2021-01-13","active","2022-01-12 00:00:00","2020-10-01","False",65.3329,0.231338,0.00721,24.72,90.0529,0.238548,111.0649,0.385323,93.1532,0.2092239,0.0293241,-3.10029999999999,117.8732,0.216403,,,17.9117,0.17613,
"A2",12,"False","en-6975245025","ev-hziak9664","gas",2345,"2021-01-13","2022-01-12 00:00:00","2021-01-13","active","2022-01-12 00:00:00","2020-10-01","False",87.1836,0.04078198,0.001605,34.24,121.4236,0.042372,173.5005,0.162105,139.2605,0.0471014,-0.0047294,-17.8369,173.5005,0.048685,,,34.24,0.115025,
"A2","EASY","False","en-7634207182","ev-blvxw3729","power",2345,"2021-12-01","2021-12-01 00:00:00","2021-01-14","active","2021-12-01 00:00:00","2020-10-01","False",65.3329,0.231338,0.011948,30.9,96.2329,0.243286,121.3649,0.377083,93.1532,0.2092239,0.0340621,3.07970000000002,124.0532,0.221141,,,28.2117,0.16789,
"A2","EASY","False","en-8559565794","ev-skkiy1097","power",2345,"2022-01-06","2022-01-06 00:00:00","2021-01-14","active","2022-01-06 00:00:00","2020-10-01","False",57.7213,0.204386,0.010556,27.3,85.0213,0.214942,107.2253,0.333151,82.3004,0.1848483,0.0300937,2.72090000000001,109.6004,0.195377,,,24.9249,0.14833,
"A2","EASY","False","en-4262323365","ev-gioxy8520","power",2345,"2021-12-01","2021-12-01 00:00:00","2021-01-15","active","2021-12-01 00:00:00","2020-10-01","False",71.6759,0.253798,0.013108,33.9,105.5759,0.266906,133.1479,0.413693,102.1972,0.2295369,0.0373691,3.37870000000002,136.0972,0.242611,,,30.9507,0.18419,
"A2","EASY","False","en-9141516592","ev-ynjiw1818","power",2345,"2021-04-15","2021-04-15 00:00:00","2021-01-20","active","2021-04-15 00:00:00","2020-10-01","False",60.8928,0.215616,0.011136,28.8,89.6928,0.226752,113.1168,0.351456,86.8224,0.1950048,0.0317472,2.87040000000002,115.6224,0.206112,,,26.2944,0.15648,
"A2",12,"False","en-9141516592","ev-geisl7317","gas",2345,"2021-04-01","2022-03-31 00:00:00","2021-01-20","active","2022-03-31 00:00:00","2020-10-01","False",71.7024,0.03354032,0.00132,28.16,99.8624,0.034848,142.692,0.13332,114.532,0.0387376,-0.0038896,-14.6696,142.692,0.04004,,,28.16,0.0946,
"A2","EASY","False","en-5313868605","ev-tclrt1198","gas",2345,"2021-01-01","2021-01-01 00:00:00","2021-01-22","active","2021-01-01 00:00:00","2020-10-01","False",75.7764,0.03544602,0.00186,37.2,112.9764,0.037293,158.2395,0.138105,121.0395,0.0409386,-0.0036456,-8.06310000000001,158.2395,0.04278,,,37.2,0.097185,
"A2","EASY","False","en-1331477289","ev-suych8596","gas",2345,"2021-01-01","2021-01-01 00:00:00","2021-01-22","active","2021-01-01 00:00:00","2020-10-01","False",92.0724,0.04306882,0.00226,45.2,137.2724,0.045313,192.2695,0.167805,147.0695,0.0497426,-0.0044296,-9.7971,192.2695,0.05198,,,45.2,0.118085,
